gap,delta_omega_mean,amp_q10,amp_q50,amp_q90,phase_circ_std,num_points
1,1,0.66494118,0.94777733,1.3502869,0.4128913,5760000
2,2,0.48448038,0.9013508,1.6749996,0.70128823,5644800
3,3,0.38676822,0.85932291,1.8961336,0.93061071,5529600
4,4,0.32745873,0.82090065,2.0223721,1.1252892,5414400
5,5,0.28752225,0.78446174,2.0853814,1.306535,5299200
6,6,0.25866528,0.74883547,2.1010696,1.4906947,5184000
7,7,0.23701397,0.71453249,2.0801104,1.6766093,5068800
8,8,0.22060662,0.68228304,2.0375231,1.8361729,4953600
9,9,0.20739553,0.6521087,1.9770103,1.9371822,4838400
10,10,0.19527487,0.62288871,1.9061453,1.9855105,4723200
11,11,0.18461532,0.59557253,1.8376813,2.0136127,4608000
12,12,0.17515678,0.56983078,1.7705889,2.0464831,4492800
13,13,0.16598044,0.5449324,1.706897,2.0957079,4377600
14,14,0.15736137,0.52077177,1.6449842,2.1588203,4262400
15,15,0.14971058,0.49843496,1.5881744,2.2168898,4147200
16,16,0.14221109,0.47671384,1.5305766,2.2548251,4032000
17,17,0.13467791,0.4555528,1.4733268,2.2747015,3916800
18,18,0.12751564,0.43577079,1.418442,2.2872998,3801600
19,19,0.12089691,0.41699295,1.3639773,2.3020508,3686400
20,20,0.11421081,0.39836171,1.3082469,2.3265989,3571200
21,21,0.108095,0.38038094,1.2535086,2.3626063,3456000
22,22,0.10275856,0.36330982,1.2018401,2.4035275,3340800
23,23,0.097667722,0.34643963,1.1498522,2.4392917,3225600
24,24,0.09276726,0.33024009,1.1003449,2.4597633,3110400
25,25,0.088422427,0.31499979,1.0542318,2.4641242,2995200
26,26,0.084149842,0.30093919,1.007879,2.4619613,2880000
27,27,0.079755256,0.28737438,0.96395636,2.4626759,2764800
28,28,0.075834435,0.2746108,0.92492038,2.4714441,2649600
29,29,0.072168849,0.26218946,0.88552873,2.4872576,2534400
30,30,0.068700556,0.24980433,0.84715599,2.5033257,2419200
31,31,0.065496773,0.23828764,0.81244125,2.5151476,2304000
32,32,0.062534762,0.22728111,0.77839073,2.5186208,2188800
33,33,0.059652375,0.21610608,0.74154006,2.5169587,2073600
34,34,0.056756061,0.20547576,0.70683779,2.5187757,1958400
35,35,0.054148551,0.19545333,0.67348537,2.5265076,1843200
36,36,0.05144229,0.18499194,0.6361647,2.5409143,1728000
37,37,0.048786401,0.17473184,0.59710752,2.5584249,1612800
38,38,0.046382747,0.16540612,0.56276595,2.5786234,1497600
39,39,0.043999629,0.1565624,0.53101008,2.5985006,1382400
40,40,0.041356133,0.14753266,0.49916798,2.6128697,1267200
41,41,0.039006941,0.1393145,0.47220729,2.6215155,1152000
42,42,0.036766835,0.13185515,0.44898233,2.624348,1036800
43,43,0.034391902,0.12376979,0.42189348,2.6154418,921600
44,44,0.032182255,0.11590078,0.39474317,2.6020408,806400
45,45,0.03017202,0.10903528,0.37318843,2.5850836,691200
46,46,0.028083953,0.10214855,0.35233171,2.5705507,576000
47,47,0.02593394,0.09470709,0.33156133,2.5625262,460800
48,48,0.023745604,0.087009422,0.31230107,2.5577872,345600
49,49,0.021172314,0.079171196,0.29543855,2.5604207,230400
50,50,0.018144731,0.070646849,0.27454835,2.5808091,115200
