gap,freq_a,freq_b,omega_a,omega_b,latent_diag_err,field_diag_err
1,24,25,26,27,0.28426667,0.26482631
2,24,26,26,28,0.51269612,0.48331392
3,23,26,25,28,0.67191048,0.63836668
4,23,27,25,29,0.77063971,0.73889648
5,22,27,24,29,0.84117377,0.8155048
6,22,28,24,30,0.88929028,0.86984916
7,21,28,23,30,0.9278001,0.91682418
8,21,29,23,31,0.95086758,0.94540585
9,20,29,22,31,0.96369943,0.96351919
10,20,30,22,32,0.96964915,0.97151435
11,19,30,21,32,0.97274538,0.97384611
12,19,31,21,33,0.97407399,0.97439381
13,18,31,20,33,0.97768821,0.97602901
14,18,32,20,34,0.9807691,0.97821304
15,17,32,19,34,0.98515074,0.98277801
16,17,33,19,35,0.98831722,0.98586507
17,16,33,18,35,0.99055887,0.98886238
18,16,34,18,36,0.9924103,0.99123876
19,15,34,17,36,0.99379629,0.9928587
20,15,35,17,37,0.99461957,0.99403198
21,14,35,16,37,0.99582589,0.99386421
22,14,36,16,38,0.99542088,0.99359484
23,13,36,15,38,0.99589044,0.99275747
24,13,37,15,39,0.99588111,0.99327409
25,12,37,14,39,0.99568091,0.99336335
26,12,38,14,40,0.99655646,0.99466426
27,11,38,13,40,0.99638698,0.99532059
28,11,39,13,41,0.99691019,0.99570935
29,10,39,12,41,0.99688847,0.99596727
30,10,40,12,42,0.99732603,0.99593751
31,9,40,11,42,0.99773636,0.99565122
32,9,41,11,43,0.99840793,0.99548003
33,8,41,10,43,0.99893758,0.99497944
34,8,42,10,44,0.999358,0.9952667
35,7,42,9,44,0.99946818,0.99589335
36,7,43,9,45,0.99961931,0.99689728
37,6,43,8,45,0.99953681,0.99843387
38,6,44,8,46,1.0000034,0.99926673
39,5,44,7,46,0.99979607,1.0005245
40,5,45,7,47,1.0003388,1.0009973
41,4,45,6,47,1.0000015,1.0012744
42,4,46,6,48,1.0000084,1.0011976
43,3,46,5,48,0.99979414,1.0010029
44,3,47,5,49,0.99942808,1.00028
45,2,47,4,49,0.99928892,1.0000228
46,2,48,4,50,0.99890699,0.9993751
47,1,48,3,50,0.99887559,0.99916799
48,1,49,3,51,0.99894363,0.99947251
49,0,49,2,51,0.99914543,0.99927481
50,0,50,2,52,0.99936093,0.99930435
